Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
01/02/2019,38383,22334,60717,11717,4401,16118,12635,16906,22334,39240,2537,5359
01/03/2019,38416,22318,60734,11741,4427,16168,12620,16883,22318,39201,2540,5365
01/04/2019,38307,22337,60644,11710,4378,16088,12620,16877,22337,39214,2529,5342
01/05/2019,38345,22347,60692,11726,4390,16116,12638,16897,22347,39244,2522,5332
01/06/2019,38505,22402,60907,11787,4428,16215,12670,16942,22402,39344,2530,5348
01/07/2019,38612,22421,61033,11814,4449,16263,12673,16943,22421,39364,2556,5406
01/08/2019,38564,22403,60967,11812,4447,16259,12659,16922,22403,39325,2545,5383
01/09/2019,38650,22463,61113,11831,4471,16302,12684,16948,22463,39411,2553,5400
01/10/2019,38704,22460,61164,11882,4473,16355,12698,16952,22460,39412,2553,5397
01/11/2019,38751,22577,61328,11806,4463,16269,12764,17072,22577,39649,2558,5410
01/12/2019,38783,22632,61415,11824,4456,16280,12791,17101,22632,39733,2555,5402
01/13/2019,38768,22511,61279,11871,4490,16361,12728,17014,22511,39525,2552,5393
01/14/2019,38807,22448,61255,11894,4507,16401,12698,16971,22448,39419,2572,5435
01/15/2019,38748,22448,61196,11862,4501,16363,12687,16955,22448,39403,2569,5430
01/16/2019,38791,22500,61291,11856,4516,16372,12723,16992,22500,39492,2568,5427
01/17/2019,38830,22468,61298,11886,4520,16406,12706,16975,22468,39443,2578,5449
01/18/2019,38738,22435,61173,11870,4494,16364,12678,16933,22435,39368,2574,5441
01/19/2019,38711,22456,61167,11849,4487,16336,12676,16950,22456,39406,2566,5425
01/20/2019,38773,22454,61227,11897,4491,16388,12678,16961,22454,39415,2565,5424
01/21/2019,38831,22457,61288,11935,4499,16434,12683,16964,22457,39421,2569,5433
01/22/2019,38793,22434,61227,11930,4497,16427,12665,16937,22434,39371,2569,5429
01/23/2019,38794,22454,61248,11954,4488,16442,12670,16945,22454,39399,2559,5407
01/24/2019,38807,22447,61254,11978,4483,16461,12666,16942,22447,39389,2556,5404
01/25/2019,38753,22433,61186,11947,4488,16435,12655,16927,22433,39360,2551,5391
01/26/2019,38731,22406,61137,11967,4477,16444,12647,16925,22406,39331,2535,5362
01/27/2019,38747,22368,61115,11993,4481,16474,12620,16893,22368,39261,2545,5380
01/28/2019,38795,22360,61155,12025,4490,16515,12619,16884,22360,39244,2555,5396
01/29/2019,38810,22379,61189,12015,4503,16518,12634,16898,22379,39277,2552,5394
01/30/2019,38838,22413,61251,12033,4494,16527,12652,16920,22413,39333,2550,5391
01/31/2019,38800,22404,61204,11995,4504,16499,12649,16914,22404,39318,2548,5387
02/01/2019,38683,22396,61079,11944,4468,16412,12633,16886,22396,39282,2548,5385
02/02/2019,38631,22364,60995,11940,4450,16390,12625,16876,22364,39240,2540,5365
02/03/2019,38621,22382,61003,11934,4436,16370,12632,16886,22382,39268,2540,5365
02/04/2019,38706,22353,61059,11995,4471,16466,12602,16851,22353,39204,2551,5389
02/05/2019,38689,22330,61019,11997,4481,16478,12585,16839,22330,39169,2542,5372
02/06/2019,38736,22348,61084,12017,4495,16512,12599,16859,22348,39207,2539,5365
02/07/2019,38689,22340,61029,11998,4477,16475,12581,16837,22340,39177,2545,5377
02/08/2019,38675,22324,60999,11987,4473,16460,12569,16828,22324,39152,2551,5387
02/09/2019,38636,22285,60921,11996,4464,16460,12557,16806,22285,39091,2544,5370
02/10/2019,38634,22257,60891,12007,4469,16476,12550,16794,22257,39051,2541,5364
02/11/2019,38679,22212,60891,12062,4473,16535,12525,16765,22212,38977,2550,5379
02/12/2019,38653,22225,60878,12033,4456,16489,12554,16794,22225,39019,2545,5370
02/13/2019,38720,22212,60932,12071,4476,16547,12546,16777,22212,38989,2557,5396
02/14/2019,38704,22261,60965,12037,4473,16510,12564,16809,22261,39070,2551,5385
02/15/2019,38609,22202,60811,11965,4483,16448,12542,16786,22202,38988,2545,5375
02/16/2019,38645,22189,60834,12029,4482,16511,12535,16778,22189,38967,2535,5356
02/17/2019,38646,22156,60802,12053,4473,16526,12521,16753,22156,38909,2541,5367
02/18/2019,38634,22096,60730,12092,4482,16574,12487,16711,22096,38807,2532,5349
02/19/2019,38689,22109,60798,12109,4492,16601,12497,16728,22109,38837,2538,5360
02/20/2019,38609,22052,60661,12097,4493,16590,12453,16666,22052,38718,2537,5353
02/21/2019,38620,22058,60678,12099,4485,16584,12463,16680,22058,38738,2539,5356
02/22/2019,38559,22048,60607,12060,4459,16519,12463,16677,22048,38725,2543,5363
02/23/2019,38564,22058,60622,12079,4467,16546,12461,16677,22058,38735,2533,5341
02/24/2019,38631,22042,60673,12106,4504,16610,12456,16675,22042,38717,2533,5346
02/25/2019,38653,22041,60694,12129,4494,16623,12453,16670,22041,38711,2539,5360
02/26/2019,38658,22007,60665,12127,4513,16640,12452,16674,22007,38681,2530,5344
02/27/2019,38625,21995,60620,12080,4508,16588,12458,16672,21995,38667,2539,5365
02/28/2019,38544,21992,60536,12085,4420,16505,12451,16678,21992,38670,2536,5361
03/01/2019,38411,21962,60373,11988,4422,16410,12446,16659,21962,38621,2526,5342
03/02/2019,38374,21991,60365,11953,4408,16361,12474,16686,21991,38677,2519,5327
03/03/2019,38476,22024,60500,12038,4429,16467,12483,16701,22024,38725,2509,5308
03/04/2019,38637,22033,60670,12086,4448,16534,12491,16723,22033,38756,2544,5380
03/05/2019,38490,21960,60450,12026,4441,16467,12438,16661,21960,38621,2535,5362
03/06/2019,38553,21947,60500,12080,4466,16546,12443,16663,21947,38610,2527,5344
03/07/2019,38600,22024,60624,12068,4481,16549,12492,16727,22024,38751,2518,5324
03/08/2019,38444,21978,60422,11995,4439,16434,12467,16691,21978,38669,2517,5319
03/09/2019,38426,22000,60426,11977,4429,16406,12487,16715,22000,38715,2510,5305
03/10/2019,38446,21975,60421,12000,4441,16441,12471,16692,21975,38667,2514,5313
03/11/2019,38502,22010,60512,12019,4444,16463,12493,16726,22010,38736,2514,5313
03/12/2019,38575,21982,60557,12091,4437,16528,12479,16719,21982,38701,2521,5328
03/13/2019,38592,21987,60579,12083,4448,16531,12490,16741,21987,38728,2520,5320
03/14/2019,38472,21914,60386,12052,4457,16509,12440,16648,21914,38562,2517,5315
03/15/2019,38353,21953,60306,11976,4405,16381,12473,16690,21953,38643,2502,5282
03/16/2019,38227,21891,60118,11930,4398,16328,12439,16633,21891,38524,2497,5266
03/17/2019,38318,21892,60210,12020,4412,16432,12432,16624,21892,38516,2495,5262
03/18/2019,38346,21838,60184,12055,4438,16493,12393,16570,21838,38408,2508,5283
03/19/2019,38379,21830,60209,12074,4439,16513,12391,16580,21830,38410,2508,5286
03/20/2019,38392,21885,60277,12059,4435,16494,12416,16604,21885,38489,2512,5294
03/21/2019,38434,21881,60315,12097,4439,16536,12418,16601,21881,38482,2515,5297
03/22/2019,38395,21894,60289,12064,4433,16497,12418,16598,21894,38492,2516,5300
03/23/2019,38299,21804,60103,12035,4426,16461,12380,16551,21804,38355,2509,5287
03/24/2019,38361,21785,60146,12103,4429,16532,12366,16528,21785,38313,2515,5301
03/25/2019,38349,21765,60114,12117,4431,16548,12344,16495,21765,38260,2517,5306
03/26/2019,38332,21734,60066,12115,4447,16562,12341,16481,21734,38215,2510,5289
03/27/2019,38351,21760,60111,12110,4461,16571,12358,16489,21760,38249,2511,5291
03/28/2019,38348,21803,60151,12095,4449,16544,12381,16512,21803,38315,2511,5292
03/29/2019,38271,21780,60051,12018,4440,16458,12376,16509,21780,38289,2515,5304
03/30/2019,38124,21770,59894,11963,4398,16361,12366,16504,21770,38274,2493,5259
03/31/2019,38197,21760,59957,12028,4429,16457,12351,16481,21760,38241,2493,5259
04/01/2019,38220,21731,59951,12032,4430,16462,12344,16479,21731,38210,2503,5279
04/02/2019,38284,21744,60028,12071,4441,16512,12362,16500,21744,38244,2499,5272
04/03/2019,38224,21767,59991,12048,4396,16444,12374,16516,21767,38283,2494,5264
04/04/2019,38155,21715,59870,12006,4402,16408,12356,16485,21715,38200,2492,5262
04/05/2019,38093,21690,59783,11977,4405,16382,12344,16459,21690,38149,2488,5252
04/06/2019,38026,21709,59735,11913,4379,16292,12358,16482,21709,38191,2488,5252
04/07/2019,38149,21722,59871,12006,4400,16406,12364,16490,21722,38212,2489,5253
04/08/2019,38117,21643,59760,12009,4401,16410,12326,16439,21643,38082,2497,5268
04/09/2019,37654,21056,58710,12003,4411,16414,12007,16015,21056,37071,2481,5225
04/10/2019,37686,21124,58810,12016,4404,16420,12029,16048,21124,37172,2478,5218
04/11/2019,37817,21154,58971,12051,4435,16486,12053,16085,21154,37239,2492,5246
04/12/2019,37698,21059,58757,12043,4435,16478,11996,16003,21059,37062,2476,5217
04/13/2019,37528,21051,58579,11916,4405,16321,11999,15988,21051,37039,2476,5219
04/14/2019,37692,21062,58754,12008,4430,16438,12012,16007,21062,37069,2489,5247
04/15/2019,37738,21021,58759,12082,4439,16521,11977,15972,21021,36993,2489,5245
04/16/2019,37771,21023,58794,12095,4461,16556,11968,15963,21023,36986,2492,5252
04/17/2019,37739,20954,58693,12126,4455,16581,11931,15907,20954,36861,2492,5251
04/18/2019,37678,20915,58593,12098,4457,16555,11918,15897,20915,36812,2479,5226
04/19/2019,37592,20924,58516,12018,4425,16443,11920,15897,20924,36821,2491,5252
04/20/2019,37630,20940,58570,12041,4407,16448,11932,15928,20940,36868,2492,5254
04/21/2019,37692,20948,58640,12074,4419,16493,11935,15935,20948,36883,2497,5264
04/22/2019,37712,20874,58586,12119,4435,16554,11894,15885,20874,36759,2502,5273
04/23/2019,37759,20858,58617,12110,4442,16552,11896,15897,20858,36755,2520,5310
04/24/2019,37740,20909,58649,12108,4452,16560,11916,15912,20909,36821,2499,5268
04/25/2019,37738,20927,58665,12108,4435,16543,11920,15901,20927,36828,2512,5294
04/26/2019,37719,20963,58682,12076,4412,16488,11938,15934,20963,36897,2513,5297
04/27/2019,37700,20945,58645,12050,4423,16473,11942,15944,20945,36889,2505,5283
04/28/2019,37801,20941,58742,12136,4438,16574,11946,15945,20941,36886,2504,5282
04/29/2019,37802,20905,58707,12142,4441,16583,11929,15929,20905,36834,2508,5290
04/30/2019,37781,20931,58712,12079,4445,16524,11945,15953,20931,36884,2515,5304
05/01/2019,37689,20921,58610,12035,4407,16442,11954,15947,20921,36868,2513,5300
05/02/2019,37651,20864,58515,12049,4398,16447,11916,15903,20864,36767,2513,5301
05/03/2019,37542,20808,58350,11977,4388,16365,11895,15865,20808,36673,2520,5312
05/04/2019,37526,20870,58396,11957,4377,16334,11916,15901,20870,36771,2507,5291
05/05/2019,37657,20883,58540,12059,4397,16456,11923,15914,20883,36797,2505,5287
05/06/2019,37692,20873,58565,12062,4403,16465,11924,15919,20873,36792,2516,5308
05/07/2019,37663,20882,58545,12079,4380,16459,11922,15906,20882,36788,2513,5298
05/08/2019,37682,20902,58584,12068,4375,16443,11936,15913,20902,36815,2525,5326
05/09/2019,37680,20937,58617,12052,4384,16436,11954,15932,20937,36869,2519,5312
05/10/2019,37628,20926,58554,11999,4364,16363,11961,15935,20926,36861,2527,5330
05/11/2019,37570,20924,58494,11987,4336,16323,11965,15941,20924,36865,2514,5306
05/12/2019,37702,20928,58630,12056,4381,16437,11962,15953,20928,36881,2517,5312
05/14/2019,37784,20889,58673,12125,4404,16529,11939,15925,20889,36814,2527,5330
05/15/2019,37750,20936,58686,12104,4387,16491,11934,15921,20936,36857,2532,5338
05/16/2019,37603,20893,58496,12028,4372,16400,11913,15885,20893,36778,2521,5318
05/17/2019,37387,20859,58246,11886,4320,16206,11908,15875,20859,36734,2515,5306
